EIN,NAME,Latitude,Longitude,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
2022084,ST ROSALIAS ROMAN CATHOLIC CHURCH,40.626661,-74.00317,1230 65TH ST,BROOKLYN,NY,11219-5614,928,3,9,1270,194603,1,10,1000000,5,1,,0,0,6,0,12,,,,,
2030711,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,40.7698126,-74.1624845,569 BROADWAY,NEWARK,NJ,07104-4132,0,3,3,7000,197912,1,10,1000000,1,1,,0,0,6,0,12,,,,,
2045409,GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,42.798329,-78.749409,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127-1229,1678,3,9,7000,196408,1,10,29002000,5,1,,0,0,6,0,8,,,,,
7764840,TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,39.519037,-75.261291,PO BOX 102,DEERFIELD ST,NJ,08313-0102,0,3,3,7100,200308,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,44.419416,-68.250157,PO BOX 126,HULLS COVE,ME,04644-0126,0,3,3,1000,200007,1,15,0,1,1,201612,0,0,2,0,12,0,0,0,A80,
10011694,MASSACHUSETTS MODERATORS ASSOCIATION,42.436091,-71.487363,30 SAMUEL PRESCOTT DR,STOW,MA,01775-1167,0,3,3,1000,201505,1,16,995408229,1,1,201512,0,0,2,0,12,0,0,0,S19,
10015091,HANOVER SOCCER CLUB INC,39.814389,-77.001952,PO BOX 13,CEDAR KNOLLS,NJ,07927-0013,0,3,3,1000,201210,1,16,0,1,1,201512,3,4,1,0,12,57145,109998,109998,N64,
10017496,AGAMENTICUS YACHT CLUB OF YORK,43.133392,-70.641354,PO BOX 534,YORK HARBOR,ME,03911-0534,0,3,3,2000,199303,1,15,149000000,1,1,201612,4,4,1,0,12,218312,129807,100510,,
10018555,ALPHA TAU OMEGA FRATERNITY,44.892763,-68.673168,81 COLLEGE AVE,ORONO,ME,04473-4210,287,7,9,1000,194101,2,0,36000000,5,1,201612,0,0,2,0,12,0,0,0,,BETA UPSILION MAINE-ORONO
10018605,AMALGAMATED TRANSIT UNION,36.686939,-121.78531,326 Reservation Rd,Marina,CA,93933,155,5,9,3000,194010,2,0,263000000,5,1,201612,3,3,1,0,12,31782,75329,75329,,714 LOCAL
