EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10018922,AMERICAN LEGION AUXILIARY,,,5 VERDI RD STE B,WINSLOW,ME,04901-0000,964,19,9,1000,194610,1,0,319000000,5,1,201705,4,4,1,0,5,224203,272883,272883,,178 DANIEL E LAMBERT MEMORIAL
10018923,AMERICAN LEGION POST 0019 THOMAS W COLE POST,,,PO BOX 801,SANFORD,ME,04073-0801,925,19,9,1000,194603,1,0,907908000,1,1,201605,4,4,1,0,5,245816,322593,120087,,
10018927,AMERICAN LEGION POST 0005 BOURQUE LANIGAN,,,21 COLLEGE AVE,WATERVILLE,ME,04901-6141,925,19,9,1000,194603,1,0,907908000,1,1,201612,5,5,1,0,12,561928,501808,142050,,
10018930,AMERICAN LEGION,,,5 VERTI DR,WINSLOW,ME,04901-0727,925,19,9,1000,194603,1,0,907908000,5,1,201704,6,5,1,0,4,1041784,863487,863487,,22 DEPT OF MAINE
10019705,ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,,,PO BOX 430,HOLDEN,ME,04429-0430,275,10,6,1000,194101,1,0,260279000,5,1,201603,6,4,1,0,3,1640608,362909,332964,,
10019708,ANCIENT FREE & ACCEPTED MASONS OF MAINE,,,342 TURNER ST,AUBURN,ME,04210-6022,275,8,9,1000,194101,1,0,36000000,5,1,201612,0,0,2,0,12,0,0,0,,35 BETHLEHEM LODGE
10021545,MAINE STATE CHAMBER OF COMMERCE,,,125 COMMUNITY DR STE 101,AUGUSTA,ME,04330-8157,0,6,3,1000,192110,2,0,205000000,1,1,201606,5,6,1,0,6,709682,1585777,1550130,,
10022320,AUGUSTA COUNTRY CLUB,,,19 HAMMONS GROVE,MANCHESTER,ME,04351-0000,0,7,3,1000,192908,2,0,280000000,1,1,201612,6,6,1,0,12,1093916,1628711,1411076,,
10022415,KENNEBEC VALLEY CHAMBER OF COMMERCE,,,269 WESTERN AVE,AUGUSTA,ME,04330-4933,0,6,3,3000,194508,2,0,200402403,1,1,201412,4,4,1,0,12,,,,,
10024155,BANGOR BAND,,,647 MAIN STREET,BANGOR,ME,04401-6871,0,3,3,1000,198407,1,15,90000000,5,1,201609,0,0,2,0,9,0,0,0,,
