EIN,NAME,Latitude,Longitude,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
19818,PALMER SECOND BAPTIST CHURCH,42.1591412,-72.3294397,1050 THORNDIKE ST,PALMER,MA,01069-1507,3125,3,9,7000,195504,1,10,1000000,5,1,,0,0,6,0,12,,,,,3514
29215,ST GEORGE CATHEDRAL,42.3364553,-71.0349193,523 E BROADWAY,SOUTH BOSTON,MA,02127-4415,2365,3,9,7000,197210,1,10,1000000,1,1,,0,0,6,0,12,,,,,
587764,IGLESIA BETHESDA INC,42.6303002,71.2992993,157 ANDOVER ST,LOWELL,MA,01852-2348,0,3,3,7000,200401,1,10,0,1,1,,0,0,6,0,12,,,,X21,
635913,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,42.7073383,-71.1611903,454 ESSEX ST,LAWRENCE,MA,01840-1242,0,3,3,7000,200401,1,10,0,1,1,,0,0,6,0,12,,,,X21,
765634,MERCY CHAPEL INTERNATIONAL,42.299751,-71.109747,75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,02126-2433,0,3,3,7000,200404,1,10,0,1,1,,0,0,6,0,12,,,,X20,
841363,AGAPE HOUSE OF PRAYER,42.2837342,-71.0933014,39 GOODALE RD STE 2,MATTAPAN,MA,02126-1527,0,3,3,1700,200412,1,10,0,1,1,,0,0,6,0,12,,,,X20,
852649,BETHANY PRESBYTERIAN CHURCH,42.3341202,-71.1193674,32 HARVARD ST,BROOKLINE,MA,02445-7994,0,3,3,7000,200504,1,10,0,1,1,,0,0,6,0,12,,,,X20,
1028397,UNITY IN THE CITY,42.3691005,-71.1098047,955 MASSACHUSETTS AVE STE 117,CAMBRIDGE,MA,02139-3180,2062,3,9,2000,197002,1,10,59029000,5,1,,0,0,1,0,12,,,,,
1037180,MIDDLESEX BARBARIANS R F C INC,42.4849491,-71.1405115,37 BOW ST,WOBURN,MA,01801-3636,0,3,3,1200,201407,1,16,0,1,1,,0,0,2,0,1,,,,N60,
2022084,ST ROSALIAS ROMAN CATHOLIC CHURCH,40.626661,-74.00317,1230 65TH ST,BROOKLYN,NY,11219-5614,928,3,9,1270,194603,1,10,1000000,5,1,,0,0,6,0,12,,,,,
2030711,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,40.7698126,-74.1624845,569 BROADWAY,NEWARK,NJ,07104-4132,0,3,3,7000,197912,1,10,1000000,1,1,,0,0,6,0,12,,,,,
2045409,GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,42.798329,-78.749409,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127-1229,1678,3,9,7000,196408,1,10,29002000,5,1,,0,0,6,0,8,,,,,
7764840,TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,39.519037,-75.261291,PO BOX 102,DEERFIELD ST,NJ,08313-0102,0,3,3,7100,200308,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,44.419416,-68.250157,PO BOX 126,HULLS COVE,ME,04644-0126,0,3,3,1000,200007,1,15,0,1,1,201612,0,0,2,0,12,0,0,0,A80,
10011694,MASSACHUSETTS MODERATORS ASSOCIATION,42.436091,-71.487363,30 SAMUEL PRESCOTT DR,STOW,MA,01775-1167,0,3,3,1000,201505,1,16,995408229,1,1,201512,0,0,2,0,12,0,0,0,S19,
10015091,HANOVER SOCCER CLUB INC,39.814389,-77.001952,PO BOX 13,CEDAR KNOLLS,NJ,07927-0013,0,3,3,1000,201210,1,16,0,1,1,201512,3,4,1,0,12,57145,109998,109998,N64,
10017496,AGAMENTICUS YACHT CLUB OF YORK,43.133392,-70.641354,PO BOX 534,YORK HARBOR,ME,03911-0534,0,3,3,2000,199303,1,15,149000000,1,1,201612,4,4,1,0,12,218312,129807,100510,,
10018555,ALPHA TAU OMEGA FRATERNITY,44.892763,-68.673168,81 COLLEGE AVE,ORONO,ME,04473-4210,287,7,9,1000,194101,2,0,36000000,5,1,201612,0,0,2,0,12,0,0,0,,BETA UPSILION MAINE-ORONO
10018605,AMALGAMATED TRANSIT UNION,36.686939,-121.78531,326 Reservation Rd,Marina,CA,93933,155,5,9,3000,194010,2,0,263000000,5,1,201612,3,3,1,0,12,31782,75329,75329,,714 LOCAL
