EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10028850,BERWICK CEMETERY ASSOCIATION INC,,,PO BOX 227,BERWICK,ME,03901-0227,0,13,3,2000,201609,1,0,0,1,1,201603,6,4,1,0,3,2097258,271119,148064,Y50,
10028980,BETA THETA PI FRATERNITY,,,12 MUNSON RD,ORONO,ME,04469-0001,315,7,9,1000,196710,2,0,319036000,5,1,201606,2,4,1,0,6,21663,238727,238727,,161 BETA ETA CHAPTER
10029480,BIDDEFORD SACO CHAMBER OF COMMERCE INC,,,28 WATER ST STE 1,BIDDEFORD,ME,04005-5604,0,6,3,1000,194511,2,0,200000000,1,1,201612,3,4,1,0,12,58997,203605,203605,,
10032215,BOOTHBAY HARBOR YACHT CLUB,,,PO BOX 497,W BOOTHBY HBR,ME,04575-0497,0,7,3,1000,196808,2,0,280318319,1,1,201611,6,5,1,0,11,1821728,887455,883303,,
10039552,CAMDEN YACHT CLUB,,,PO BOX 204,CAMDEN,ME,04843-0204,0,7,3,1000,196710,2,0,319317000,1,1,201512,4,4,1,0,12,489255,485074,455183,,
10043280,PORTLAND REGIONAL CHAMBER,,,443 CONGRESS ST,PORTLAND,ME,04101-3531,0,6,3,3000,195201,2,0,200403279,1,1,201606,5,6,1,0,6,779639,1301751,1070308,,
10043285,LEWISTON AUBURN METROPOLITAN CHAMBER OF COMMERCE,,,PO BOX 59,LEWISTON,ME,04243-0059,0,6,3,3000,194102,2,0,200403279,1,1,201612,5,5,1,0,12,802352,629442,607646,,
10043788,COMMUNITY CHRISTMAS PROJECT INC,,,PO BOX 581,PITTSFIELD,ME,04967-0581,0,3,3,1000,201608,1,4,994560000,1,1,201210,0,0,0,1,10,0,0,0,K31,
10044660,CHRISTIAN CIVIC LEAGUE OF MAINE INC,,,70 SEWALL ST,AUGUSTA,ME,04330-6333,0,4,3,1000,194310,2,0,59029000,1,1,201612,2,4,1,0,12,14922,323631,323631,X20Z,
10052240,CUMBERLAND BAR ASSOCIATION,,,PO BOX 434,FREEPORT,ME,04032-0434,0,6,3,2000,193408,2,0,61205040,1,1,201612,0,0,2,0,12,0,0,0,,CLEAVES LAW LIBRARY
