Accountability score;Administrative expenses;Charity name;Charity url;City;CN advisory;Compensation leader compensation;Compensation leader expense;Compensation leader title;Excess or deficit for year;Financial score;Fundraising expenses;Net assets;Organization type;Other revenue;Overall score;Payments to affiliates;Program expenses;State;Total contributions
96;464590.0;Friends of Acadia;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4858;Bar Harbor;nan;134670.0;3.15;President;3730911.0;98.31;479420.0;49492487.0;Environment : Botanical Gardens, Parks, and Nature Centers;875942.0;96.92;0.0;3320443.0;ME;7113592.0
96;1577215.0;United Way of the Columbia-Willamette;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5780;Portland;nan;192900.0;0.87;President, CEO;1394886.0;79.87;2257934.0;11659108.0;Community Development : United Ways ,;4011410.0;85.48;233699.0;18303180.0;OR;19319640.0
89;1169108.0;Campaign for Tobacco-Free Kids;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4166;Washington;nan;199243.0;0.79;President;-1579607.0;100.0;1029241.0;45556772.0;Health : Treatment and Prevention Services;116626.0;92.22;0.0;22887040.0;DC;23378574.0
96;2035671.0;Jewish Federation of St. Louis;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3946;St. Louis;nan;302602.0;1.6400000000000001;President, CEO;-398133.0;80.73;2131017.0;77430105.0;Community Development : Jewish Federations ,;3889233.0;86.08;0.0;14238689.0;MO;13926450.0
89;293875.0;Intiman Theatre;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17227;Seattle;nan;48573.0;4.7;Producing Artistic Director;5450.0;63.3;80274.0;226108.0;Arts, Culture, Humanities : Performing Arts;5080.0;72.9;0.0;658401.0;WA;784590.0
100;921649.0;CommonBond Communities;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10740;St. Paul;nan;241804.0;2.26;President, CEO;7215330.0;95.0;1441338.0;57535840.0;Community Development : Housing and Neighborhood Development;-6760946.0;96.46;0.0;8295949.0;MN;6532166.0
81;203367.0;Boys & Girls Club of Worcester;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15225;Worcester;nan;103555.0;4.52;Executive Director;213696.0;82.38;225317.0;6834362.0;Human Services : Youth Development, Shelter, and Crisis Services;73956.0;81.67;0.0;1861698.0;MA;1897114.0
67;186497.0;American Friends of the Yitzhak Rabin Center for the Study of Israel;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9377;New York;nan;;;National Director;-357071.0;58.47;227967.0;418923.0;Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ,;1027.0;62.49;0.0;95344.0;NY;151710.0
97;9925505.0;Monterey Bay Aquarium;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4122;Monterey;nan;297472.0;0.36;Executive Director;-382312.0;97.07;3217061.0;370900411.0;Animals : Zoos and Aquariums;7053337.0;97.03;0.0;68393629.0;CA;29085009.0
92;231767.0;United Way of Saginaw County;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14924;Saginaw;nan;79500.0;3.56;CEO, President;-61401.0;82.3;118888.0;2830856.0;Community Development : United Ways ,;135495.0;86.26;22614.0;1882296.0;MI;2036055.0
93;503486.0;Brandywine Valley SPCA;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6816;West Chester;nan;213250.0;3.71;Chief Executive Officer;416778.0;89.91;347853.0;6653256.0;Animals : Animal Rights, Welfare, and Services;331462.0;91.31;0.0;4892758.0;PA;928151.0
100;61078.0;Boys & Girls Clubs of Nassau County Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13927;Fernandina Beach;nan;;;President;78892.0;100.0;44302.0;8151730.0;Human Services : Youth Development, Shelter, and Crisis Services ,;320606.0;100.0;0.0;937906.0;FL;801572.0
85;179647.0;Big Brothers Big Sisters of South Texas;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15390;San Antonio;nan;111911.0;3.54;President, CEO;2824910.0;92.29;297912.0;5905036.0;Human Services : Youth Development, Shelter, and Crisis Services;1345805.0;88.07;26784.0;2682499.0;TX;4639163.0
100;2395131.0;ANERA;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3278;Washington;nan;252394.0;0.35000000000000003;President, CEO;-2948031.0;87.62;896652.0;10123335.0;International : Development and Relief Services;472003.0;91.24;0.0;67295653.0;DC;67167402.0
100;289640.0;Central Illinois Foodbank;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6970;Springfield;nan;105015.0;0.49;Executive Director;98512.0;96.1;187619.0;6691032.0;Human Services : Food Banks, Food Pantries, and Food Distribution;35700.0;97.24;0.0;20700379.0;IL;20389793.0
